1588809554250;9120281,7,0
4467578529267415296;1911320027,1,0
1588809555000;9119630,7,0
3170541836584573952;1911320030,1,0
1588809555750;9120073,7,0
1873505143902184192;1911320033,1,0
1588809556500;9119161,7,0
576468451219584512;1911320036,1,0
1588809557250;9118178,7,0
-720568241463859968;1911320038,1,0
1588809558000;9117716,7,0
-2017604934146338816;1911320041,1,0
1588809558750;9119294,7,0
-3314641626828938496;1911320044,1,0
1588809559500;9118943,7,0
-4611678319511699712;1911320047,1,0
1588809560250;9117154,7,0
-5908715012194762752;1911320050,1,0
1588809561000;9117309,7,0
-7205751704877246464;1911320053,1,0
1588809561750;9117757,7,0
-8502788397559878144;1911320056,1,0
1588809562500;9118019,7,0
8646918983467070464;1911320059,1,0
1588809563250;9117503,7,0
7349882290784049920;1911320062,1,0
1588809564000;9118301,7,0
6052845598101718272;1911320065,1,0
1588809564750;9118876,7,0
4755808905419107072;1911320068,1,0
1588809565500;9120163,7,0
3458772212736684800;1911320071,1,0
1588809566250;9120369,7,0
2161735520054247424;1911320074,1,0
1588809567000;9121572,7,0
864698827371804160;1911320077,1,0
1588809567750;9121484,7,0
-432337865311013376;1911320079,1,0
1588809568500;9122688,7,0
-1729374557993707264;1911320082,1,0
1588809569250;9120454,7,0
-3026411250676817152;1911320085,1,0
1588809570000;9121244,7,0
-4323447943359161344;1911320088,1,0
1588809570750;9122441,7,0
-5620484636041442048;1911320091,1,0
1588809571500;9123632,7,0
-6917521328724049408;1911320094,1,0
1588809572250;9124019,7,0
-8214558021406425856;1911320097,1,0
1588809573000;9125399,7,0
8935149359620659712;1911320100,1,0
1588809573750;9127446,7,0
7638112666938218752;1911320103,1,0
1588809574500;9126524,7,0
6341075974255666432;1911320106,1,0
1588809575250;9127100,7,0
5044039281573175552;1911320109,1,0
1588809576000;9128966,7,0
3747002588890573568;1911320112,1,0
1588809576750;9130033,7,0
2449965896208210176;1911320115,1,0
1588809577500;9128942,7,0
1152929203525406464;1911320118,1,0
1588809578250;9131212,7,0
-144107489156895488;1911320120,1,0
1588809579000;9131564,7,0
-1441144181839311616;1911320123,1,0
1588809579750;9133742,7,0
-2738180874521544704;1911320126,1,0
1588809580500;9134064,7,0
-4035217567204458240;1911320129,1,0
1588809581250;9131990,7,0
-5332254259887266816;1911320132,1,0
1588809582000;9133249,7,0
-6629290952569724672;1911320135,1,0
1588809582750;9132417,7,0
-7926327645252956928;1911320138,1,0
1588809583500;9131773,7,0
-9223364337935739392;1911320141,1,0
1588809584250;9131681,7,0
7926343043090883840;1911320144,1,0
1588809585000;9131750,7,0
6629306350408374528;1911320147,1,0
1588809585750;9130872,7,0
5332269657725300992;1911320150,1,0
1588809586500;9129057,7,0
4035232965042401536;1911320153,1,0
1588809587250;9129409,7,0
2738196272359528960;1911320156,1,0
1588809588000;9129164,7,0
1441159579676934400;1911320159,1,0
1588809588750;9129575,7,0
144122886994507264;1911320162,1,0
1588809589500;9130464,7,0
-1152913805688016640;1911320164,1,0
1588809590250;9130781,7,0
-2449950498370558208;1911320167,1,0
1588809591000;9130811,7,0
-3746987191053292032;1911320170,1,0
1588809591750;9131712,7,0
-5044023883735854080;1911320173,1,0
1588809592500;9130771,7,0
-6341060576418928896;1911320176,1,0
1588809593250;9129886,7,0
-7638097269101530112;1911320179,1,0
1588809594000;9131824,7,0
-8935133961783673856;1911320182,1,0
1588809594750;9133229,7,0
8214573419243293184;1911320185,1,0
1588809595500;9133864,7,0
6917536726560953088;1911320188,1,0
1588809596250;9135199,7,0
5620500033878187264;1911320191,1,0
1588809597000;9133217,7,0
4323463341195229696;1911320194,1,0
1588809597750;9133570,7,0
3026426648512437248;1911320197,1,0
1588809598500;9132989,7,0
1729389955829736704;1911320200,1,0
1588809599250;9133456,7,0
432353263146847488;1911320203,1,0
1588809600000;9132452,7,0
-864683429535584000;1911320205,1,0
1588809600750;9133464,7,0
-2161720122218549504;1911320208,1,0
1588809601500;9131004,7,0
-3458756814901549824;1911320211,1,0
1588809602250;9132272,7,0
-4755793507584106240;1911320214,1,0
1588809603000;9131694,7,0
-6052830200267142656;1911320217,1,0
1588809603750;9128927,7,0
-7349866892950144768;1911320220,1,0
1588809604500;9127778,7,0
-8646903585633067264;1911320223,1,0
1588809605250;9129271,7,0
8502803795393847552;1911320226,1,0
1588809606000;9130000,7,0
7205767102711760640;1911320229,1,0
1588809606750;9130171,7,0
5908730410028647936;1911320232,1,0
1588809607500;9128698,7,0
4611693717345473792;1911320235,1,0
